	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10
S01	0.0	0.076	0.062	0.102	0.056	0.393	0.379	0.355	0.391	0.353
S02	0.076	0.0	0.085	0.056	0.057	0.384	0.416	0.36	0.368	0.4
S03	0.062	0.085	0.0	0.126	0.096	0.382	0.428	0.354	0.419	0.373
S04	0.102	0.056	0.126	0.0	0.062	0.359	0.375	0.415	0.364	0.397
S05	0.056	0.057	0.096	0.062	0.0	0.401	0.38	0.394	0.355	0.355
S06	0.393	0.384	0.382	0.359	0.401	0.0	0.066	0.104	0.084	0.075
S07	0.379	0.416	0.428	0.375	0.38	0.066	0.0	0.097	0.086	0.074
S08	0.355	0.36	0.354	0.415	0.394	0.104	0.097	0.0	0.114	0.106
S09	0.391	0.368	0.419	0.364	0.355	0.084	0.086	0.114	0.0	0.07
S10	0.353	0.4	0.373	0.397	0.355	0.075	0.074	0.106	0.07	0.0
