FILE	missing	percentage
CA140404	1661	0.594488188976378
CA140663	1667	0.5966356478167502
CA140552	1671	0.598067287043665
CA114538	1672	0.5984251968503937
CA117687	1678	0.6005726556907659
CA116904	1680	0.6012884753042234
CA138810	1686	0.6034359341445956
CA140677	1699	0.6080887616320687
CA110357	1704	0.6098783106657122
CA110356	1711	0.6123836793128132
CA116948	1717	0.6145311381531854
CA114255	1724	0.6170365068002863
CA138401	1726	0.6177523264137437
CA114720	1727	0.6181102362204725
CA139575	1730	0.6191839656406586
CA137650	1732	0.6198997852541159
CA139090	1752	0.6270579813886901
CA139882	1855	0.6639226914817467
